id,title,score_final,Drama,Comedy,Horror,Romance
862,Toy Story,1638.55,0,1,0,0
8844,Jumanji,735.17,0,0,0,0
15602,Grumpier Old Men,36.06,0,1,0,1
31357,Waiting to Exhale,14.57,1,1,0,1
11862,Father of the Bride Part II,58.37,0,1,0,0
949,Heat,577.84,1,0,0,0
11860,Sabrina,48.12,0,1,0,1
45325,Tom and Huck,16.94,1,0,0,0
9091,Sudden Death,57.02,0,0,0,0
710,GoldenEye,368.18,0,0,0,0
9087,The American President,65.46,1,1,0,1
12110,Dracula: Dead and Loving It,68.0,0,1,1,0
21032,Balto,135.81,0,0,0,0
10858,Nixon,26.99,1,0,0,0
1408,Cutthroat Island,47.02,0,0,0,0
524,Casino,411.09,1,0,0,0
4584,Sense and Sensibility,117.42,1,0,0,1
5,Four Rooms,168.81,0,1,0,0
9273,Ace Ventura: When Nature Calls,344.94,0,1,0,0
11517,Money Train,73.03,0,1,0,0
8012,Get Shorty,100.39,0,1,0,0
1710,Copycat,67.65,1,0,0,0
9691,Assassins,126.13,0,0,0,0
12665,Powder,51.49,1,0,0,0
451,Leaving Las Vegas,117.51,1,0,0,1
16420,Othello,13.62,1,0,0,0
9263,Now and Then,34.28,1,1,0,0
17015,Persuasion,14.87,1,0,0,1
902,The City of Lost Children,100.35,0,0,0,0
37557,Shanghai Triad,8.25,1,0,0,0
9909,Dangerous Minds,82.0,1,0,0,0
63,Twelve Monkeys,750.11,0,0,0,0
78802,Wings of Courage,4.29,0,0,0,1
9598,Babe,236.4,1,1,0,0
47018,Carrington,8.11,1,0,0,1
687,Dead Man Walking,111.37,1,0,0,0
139405,Across the Sea of Time,2.06,1,0,0,0
33689,It Takes Two,51.03,0,1,0,1
9603,Clueless,256.1,1,1,0,1
34615,"Cry, the Beloved Country",7.03,1,0,0,0
31174,Richard III,20.04,1,0,0,0
11443,Dead Presidents,31.58,1,0,0,0
35196,Restoration,17.01,1,0,0,1
9312,Mortal Kombat,143.2,0,0,0,0
577,To Die For,61.0,1,1,0,0
11861,How To Make An American Quilt,16.24,1,0,0,1
807,Se7en,1786.97,0,0,0,0
10530,Pocahontas,462.02,1,0,0,0
8391,When Night Is Falling,7.01,1,0,0,1
629,The Usual Suspects,1011.59,1,0,0,0
117164,Guardian Angel,3.72,1,0,0,0
11448,Mighty Aphrodite,54.13,0,1,0,1
49133,Lamerica,7.06,1,0,0,0
26441,The Big Green,17.37,0,1,0,0
97406,Georgia,8.99,1,0,0,0
124057,Kids of the Round Table,1.65,0,0,0,0
9089,Home for the Holidays,18.43,1,1,0,1
11010,The Postman,62.42,1,1,0,1
99040,The Confessional,3.26,1,0,0,0
11359,The Indian in the Cupboard,48.5,0,0,0,0
17182,Eye for an Eye,24.19,1,0,0,0
2054,Mr. Holland's Opus,40.83,1,0,0,0
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,65.93,0,1,0,0
19760,Two If by Sea,7.09,0,1,0,1
9536,Bio-Dome,37.95,0,1,0,0
11525,Lawnmower Man 2: Beyond Cyberspace,11.97,0,0,0,0
40628,Two Bits,7.48,1,0,0,0
4482,French Twist,16.56,0,1,0,1
10634,Friday,163.98,0,1,0,0
755,From Dusk Till Dawn,503.63,0,0,1,0
11859,Fair Game,20.8,0,0,0,1
28387,Kicking and Screaming,15.28,1,1,0,1
48750,Les Miserables,5.78,1,0,0,0
20927,Bed of Roses,15.35,1,0,0,1
